,BR,BV,ED,EN,H3,HA,HC,HW,LN,NP,O2,RP,RS,SM,SM,V4
,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC-CO,MC
Date,,,,,,,,,,,,,,,,
1/1/2017 0:00,,40.3,6.7,,25.5,37.2,6.4,37,33.7,34,,31.5,17.3,20.4,30.4,10.7
1/1/2017 1:00,,37,7.1,,24.1,35.2,4.9,41.3,34.8,35.7,,33.6,7.4,19.9,38.6,8.9
1/1/2017 2:00,,36.9,7,,19.9,34.2,5.4,37.2,33.2,37.2,,38.8,5.5,23.5,32.9,8.2
1/1/2017 3:00,,37.5,7.1,,22,33.9,5.4,30.2,34.1,33.6,,42,7.3,20.2,35.1,10.1
1/1/2017 4:00,,35.3,7.4,,22.9,31.4,6.2,29.9,33,31.9,,43.1,9.6,20.3,31.9,7.1
1/1/2017 5:00,,40.9,6.2,,17.6,28,6,33.7,30.6,24.5,,39.1,7,17.7,29.1,7.2
1/1/2017 6:00,,46.7,6.7,,11.2,31.7,5.6,33.6,25.7,25.9,,42.1,3.6,18.4,32,7.2
1/1/2017 7:00,,44.3,7.3,,16,35.8,6.6,32,25.2,25,,39.4,5.3,19.3,29.8,8.9
1/1/2017 8:00,,44.3,8.3,,23,29.9,3.8,30.1,29.4,22.6,,42.6,7.1,24,25.3,8.2
1/1/2017 9:00,,40.1,7.2,,19,32.3,3.2,31.9,26.8,27.2,,38.2,7.6,17.6,23.1,6.4
1/1/2017 10:00,,42.3,7.7,,15,37.5,1.8,40.8,25.7,28.4,,37.1,7.7,16,20,7.2
1/1/2017 11:00,,40.9,10,,11.1,34.7,1.7,41.6,23.7,32.4,,33.5,7.6,21.9,21.9,8.2
1/1/2017 12:00,,43.5,12.6,,14.5,32.4,1.4,40.4,27.8,27.8,,29.5,6.3,26.6,22.1,8
1/1/2017 13:00,,39.3,12.5,,15.1,32.4,0.5,37.2,24.3,26.6,,33.2,6.1,22.8,20.8,9.4
1/1/2017 14:00,,32.9,10.1,,4.5,32.9,0.7,38.2,24.2,25.1,,33.3,5.9,17.9,21.4,8.3
1/1/2017 15:00,,26.4,7.5,,2,31.8,0.8,34.1,24.8,20.8,,28.9,5.8,17.2,21.6,8.6
1/1/2017 16:00,,25.8,8.2,,17.6,29.5,1.4,31.4,22.5,22.4,,23.8,5.9,18.9,24.7,10.8
1/1/2017 17:00,,30,9.1,,27.7,26,3,27,20.9,23.3,,21.1,6.4,22,23.6,14.8
1/1/2017 18:00,,33.5,8.6,,25.7,30,2.2,30.8,13,26.1,,24.3,8.5,22.1,25.3,23.9
1/1/2017 19:00,,33.8,10.6,,26.2,28.6,3,26.4,19.6,25.1,,20.9,11.6,21.9,24.9,21.9
1/1/2017 20:00,,31,12.5,,31.5,22.2,2.3,25.4,18.6,22,,19.2,10.8,21.8,25.9,15.6
1/1/2017 21:00,,38.7,13.9,,34,22,1.9,22.1,11.3,22.4,,19.3,8.6,22,27.8,17.2
1/1/2017 22:00,,36.1,12.9,,31.6,25.6,1.7,23.2,12.7,21.8,,19.4,11.6,27.1,27.1,21.5
1/1/2017 23:00,,17.2,11.9,,30.5,20.1,1.5,27.1,5.1,8.3,,15.8,13.3,29.5,27.3,20.5
1/2/2017 0:00,,14.9,10.5,,22.1,14.6,0.7,17.8,3.8,0.8,,18.3,13.7,25.5,27.7,19.8
1/2/2017 1:00,,17,10.1,,23.9,19.1,0.6,6.9,2.6,-1.9,,14.7,12.5,23.6,29,21.1
1/2/2017 2:00,,12.3,5.6,,15.1,9.2,0.5,16.4,1.8,-0.4,,12,12.4,26.7,30.6,15.5
1/2/2017 3:00,,10.2,8.7,,13.9,5.6,0.5,14.4,4.6,4.2,,3.6,10.1,29.5,30.9,21.3
1/2/2017 4:00,,7.7,4.4,,9.1,5.4,0.6,6.7,1.4,5.1,,4.4,9.1,29,30,11.1
1/2/2017 5:00,,6.1,3.3,,8.2,4.9,0.5,1.9,0,0,,4.9,10,22.3,28.2,12.2
1/2/2017 6:00,,7.1,3.4,,3.9,5.8,0.4,1.3,,4.1,,4.4,3.1,21.8,29.9,6.8
1/2/2017 7:00,,7.8,2.6,,0.8,5.5,1,9.9,1.5,-0.1,,6.4,0.3,14.6,14.8,3.1
1/2/2017 8:00,,9.1,2.6,,0.9,5.3,1,12.1,2.8,3.6,,5.5,0.3,9.5,17.9,2.9
1/2/2017 9:00,,8.1,3.7,,4.2,4.6,1.2,0.7,3.1,5.3,,7.6,0.5,13.9,21,3.3
1/2/2017 10:00,,8.7,3.8,,2.1,4.8,2.9,18.5,3,3.9,,6.7,0.7,17.6,17.5,8.4
1/2/2017 11:00,,9.5,4.1,,4.2,7.8,2.9,17.3,7,5.8,,9.9,0.7,17.1,11.8,9
1/2/2017 12:00,,8.6,4,,-3.1,10.3,1.3,14,6.1,3.5,,14.8,0.9,12.9,9.5,6.8
1/2/2017 13:00,,10.1,3.9,,0.6,11.8,1,22.9,4.4,8.3,,16.5,0.8,9.2,7.9,5.2
1/2/2017 14:00,,9.8,4,,2,10.3,1,19.4,5.2,4,,16.8,1.1,7.5,5.7,5.2
1/2/2017 15:00,,11.4,4.4,,4.3,10.7,0.8,10.7,4,2.6,,14.9,2.3,3.9,4.7,4.3
1/2/2017 16:00,,12.6,3.8,,3.4,12.8,0.8,12.6,4.8,2.3,,13.3,5.4,4.7,5.2,5.9
1/2/2017 17:00,,11.5,3.5,,2.9,14.3,1.4,17.8,3.1,6.3,,18.6,10.4,6.8,8.5,14.2
1/2/2017 18:00,,13,1.9,,3.3,10.9,5.2,16.4,8.8,5.4,,17.7,8.3,9.6,11.7,6.8
1/2/2017 19:00,,12,1.7,,0.5,9.3,2.2,15.1,6.9,8.6,,13.6,9.5,20,11.6,9.1
