,Rank,Title,Age,Points,Comments
0,1,41,1,88,7
1,2,69,0,28,0
2,3,62,0,18,5
3,4,34,2,188,111
4,5,18,2,62,26
5,6,63,4,70,12
6,7,21,5,95,8
7,8,75,1,22,0
8,9,69,0,29,12
9,10,74,9,146,42
10,11,58,1,46,30
11,12,79,1,8,0
12,13,76,1,130,105
13,14,76,3,90,76
14,15,70,2,104,98
15,16,55,2,55,0
16,17,43,4,29,0
17,18,80,9,89,8
18,19,18,8,67,5
19,20,64,1,20,20
20,21,17,2,14,0
21,22,37,4,14,2
22,23,51,4,116,27
23,24,45,6,38,68
24,25,64,2,142,103
25,26,51,1,10,0
26,27,66,9,184,182
27,28,80,2,48,24
28,29,36,2,3,2
29,30,63,9,191,95
30,31,37,24,867,436
31,32,68,21,372,79
32,33,75,13,38,11
33,34,41,4,131,193
34,35,11,19,804,320
35,36,72,7,0,0
36,37,32,14,249,324
37,38,60,48,1562,212
38,39,56,17,132,34
39,40,51,17,149,123
40,41,77,2,7,0
41,42,48,3,61,117
42,43,76,24,493,360
43,44,33,21,155,13
44,45,47,17,227,206
45,46,30,22,158,20
46,47,52,17,83,5
47,48,52,21,135,23
48,49,39,24,570,306
49,50,24,21,138,70
50,51,66,18,96,20
51,52,32,24,242,87
52,53,41,15,72,29
53,54,70,24,184,75
54,55,70,22,109,40
55,56,24,9,109,99
56,57,49,24,185,67
57,58,37,15,134,62
58,59,60,21,226,218
59,60,68,24,112,29
60,61,68,24,112,29
61,62,80,1,31,51
62,63,15,24,202,55
63,64,33,23,91,52
64,65,56,21,62,6
65,66,41,12,38,6
66,67,65,24,144,62
67,68,46,22,72,13
68,69,73,18,44,6
69,70,33,15,51,36
70,71,44,24,64,28
71,72,16,24,156,22
72,73,46,17,115,56
73,74,59,23,98,12
74,75,75,24,225,44
75,76,80,24,367,156
76,77,59,12,26,15
77,78,39,20,326,331
78,79,63,21,62,32
79,80,55,12,17,0
80,81,62,24,299,213
81,82,61,10,22,5
82,83,61,8,88,20
83,84,31,48,320,100
84,85,53,24,297,82
85,86,74,24,176,68
86,87,74,48,438,354
87,88,42,24,206,20
88,89,32,24,135,73
89,90,56,21,76,65
90,91,50,18,38,6
91,92,66,19,48,40
92,93,41,24,185,135
93,94,31,24,169,89
94,95,61,24,47,0
95,96,43,17,175,135
96,97,65,10,15,4
97,98,40,23,37,2
98,99,77,24,141,37
99,100,78,24,483,197
100,101,24,14,56,22
101,102,48,22,106,52
102,103,60,48,251,128
103,104,55,18,28,20
104,105,44,11,53,92
105,106,62,20,22,2
106,107,33,24,301,334
107,108,47,48,31,0
108,109,71,24,129,31
109,110,75,48,176,151
110,111,63,22,6,0
111,112,62,24,238,93
112,113,49,24,36,11
113,114,48,24,111,15
114,115,67,20,18,0
115,116,20,15,17,6
116,117,69,24,154,65
117,118,52,24,155,78
118,119,49,16,27,3
119,120,60,24,23,27
120,121,48,48,134,26
121,122,49,24,81,23
122,123,59,24,14,0
123,124,33,24,142,137
124,125,35,24,206,59
125,126,46,24,122,31
126,127,45,24,16,0
127,128,65,20,43,13
128,129,26,48,179,66
129,130,62,24,336,200
130,131,43,24,23,15
131,132,66,24,97,20
132,133,56,24,204,131
133,134,50,24,82,4
134,135,31,24,234,58
135,136,64,15,9,0
136,137,60,24,406,214
137,138,58,24,129,77
138,139,43,48,61,18
139,140,22,48,389,224
140,141,45,24,21,0
141,142,64,19,15,2
142,143,56,48,197,158
143,144,56,24,65,13
144,145,80,24,54,8
145,146,34,21,36,18
146,147,69,17,14,5
147,148,55,24,28,35
148,149,63,24,659,204
149,150,40,24,123,77
